Burden ID,Name,Domain,Type of Organization,Roster URL,Artists are...,Notes,Artist 1,Artist 2,Artist 3,Artist 4,Artist 5,Artist 6,Artist 7,Artist 8,Artist 9,Artist 10,Artist 11,Artist 12,Artist 13,Artist 14,Artist 15,Artist 16,Artist 17,Artist 18,Artist 19,Artist 20,Artist 21,Artist 22,Artist 23,Artist 24,Artist 25
EXAMPLE 1,Gagosian Gallery,http://www.gagosian.com/,Gallery,http://www.gagosian.com/artists,Exhibited,,Walter De Maria,Urs Fischer,Douglas Gordon,Andreas Gursky,Michael Heizer,Josephine Meckseper,Pablo Picasso,Ed Ruscha,Richard Serra,Rudolf Stingel,Cy Twombly,Adriana Varejão,Diane Arbus,Richard Artschwager,Richard Avedon,Francis Bacon,Balthus,Davide Balula,Georg Baselitz,Jean-Michel Basquiat,Joseph Beuys,Dike Blair,Joe Bradley,Glenn Brown,Chris Burden
EXAMPLE 2,widmertheodoridis,http://www.0010.ch/,Gallery,http://www.0010.ch/kuenstler,Unknown,,ERIKA BABATZ,BILDSTEIN|GLATZ,MATTHEW COX,OTHMAR EDER,CHIARA FIORINI,ANDREAS FUX,GIAN MICHELLE GROB,URSULA GROSER,GIAN HÄNE,LOIS HECHENBLAIKNER,RUTH HOMMELSHEIM,SYBILLE HOTZ,HUBER.HUBER,SIMONE KAPPELER,SANDRA KÜHNE,MATTHIAS LIECHTI,KOLJA LINOWITZKI,GEORGETTE MAAG,AGATA MADEJSKA,ANTONIO SANTIN,SCANDERBEG SAUER,MICHAEL SCHNABEL,ALEKSANDR SCHUMOV,ELISABETH SONNECK,SEBASTIAN STADLER
EXAMPLE 3,Waterford's Auction,http://www.waterfordsauction.com/,Auction House,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXAMPLE 4,Heather James Fine Art,http://www.heatherjames.com/,Gallery,http://www.heatherjames.com/artists,Unknown,,SAMUEL T. ADAMS,CHINA ADAMS,CARA JUDEA ALHADEFF,MICAELA AMATO,CAROLINE ARMINGTON,ZALIKO BACHANASHVILL,THOMAS BANGSTED,LAUREN BENRIMON,LUC BERNARD,HILARY BERSETH,WALEAD BESHTY,CARLOS BETANCOURT,SONJA BLOMDAHL,TATIANA BOTTON,SALLY BRUNO,MATTY BYLOOS,RYAN CALLIS,MATTHEW CHAMBERS,BENNY CHAN,YORK CHANG,GORDON CHEUNG,DALE CHIHULY,KRIS COX,CARLO D'ALESSIO,PAUL DAVIES
EXAMPLE 5,Wilhelm Hack Museum,http://www.wilhelmhack.museum/,Museum,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXAMPLE 6,London Print Fair,http://www.londonprintfair.com/,Fair,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXAMPLE 7,Helen Day Art Center,http://www.helenday.com/,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXAMPLE 8,Ken Saunders Gallery,http://www.kensaundersgallery.com/,Gallery,http://www.kensaundersgallery.com/artists.html,Represented,,"BECK, Rick","BOUCHET O'NEILL, Armelle","CARLSON, William","CHARDIET, José","CRIBBS, Kéké","CUMMINGS, Matthew","FOWLER, Mark","GOLDBERG, Jon","HUTTER, Sidney","JENSEN, Steven","KUHN, Jon","LOZAR, Carmen","MARIONI, Dante","MUSLER, Jay","MYERS, Joel Philip","POWELL, Stephen","RASKO, Wesley Neal","ROYAL, Richard","SAND, Toland","SARMIENTO, Jeffrey","SCHWARZ, David","SCOON, Thomas","STANKARD, Paul","STERLING, Lisabeth","TOGAWA, Kanako"
EXAMPLE 9,LVS Decorative Arts,http://www.lvsdecorativearts.co.uk/,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXAMPLE 10,Winsor Gallery,http://www.winsorgallery.com,Gallery,http://www.winsorgallery.com/artists.asp,Represented,,Fiona Ackerman,Shelley Adler,Bill Anderson,Alexander Caldwell,Andy Dixon,Ann Goldberg,Bradley Harms,Gabryel Harrison,Patrick Hughes,Vitaly Medvedovsky,Alessandro Papetti,Luke Parnell,Gary Pearson,Charles Rea,Jay Senetchko,Colin Smith,Allan Switzer,Etienne Viard,Alan Wood,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contractor: Clarissa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47945,Kreis Galerie,www.kreis-nuernberg.de,Gallery,,,no artist page,,,,,,,,,,,,,,,,,,,,,,,,,
29194,Galerie Atelier Melanie M Kreuzhof,www.kreuzhof.com,Gallery,,,no artist page,,,,,,,,,,,,,,,,,,,,,,,,,
47944,Kreiling And Dodd,www.kreilinganddodd.com,Other,,,website not available,,,,,,,,,,,,,,,,,,,,,,,,,
90747,Kristall-Welt,www.kristallwelt-essen.de,Other,,,no artist page,,,,,,,,,,,,,,,,,,,,,,,,,
47981,Kristen Lorello,www.kristenlorello.com,Gallery,http://www.kristenlorello.com/artists/,Unknown,,SCOTT ALARIO,GOLDSCHMIED & CHIARI,NADIA HAJI OMAR,RACHEL HIGGINS,GERARD MULLIN,GIACINTO OCCHIONERO,BAYNE PETERSON,JOSH SLATER,,,,,,,,,,,,,,,,,
48017,Kronenboden,www.kronenboden.de,Gallery,http://www.kronenboden.de/?page_id=45,Unknown,,Thomas Zanon Larcher,Jules Wright,Lidija Delić,Nina Ivanović,Sava Knežević,Isidora Krstić,Iva Kuzmanović,Nemanja Nikolić,Marija Ševic,Julia Schuffenhauer,Ralf Witthaus,André Pinkowski,Karen Stuke,Armin Kauker,Eva Brunner-Szabo,Machfeld,Alessandro Mencarelli,Tim Sharp,Angela Svoronou,Karolina Breguła,Monika Drożyńska,Karolina Freino,Alicja Karska/Aleksandra Went,,
48015,Kronborg Slot Kronborg Castle,www.kronborg.dk,Other,,,no artist page,,,,,,,,,,,,,,,,,,,,,,,,,
48010,Kroma,www.kroma.in,Gallery,,,no artist page,,,,,,,,,,,,,,,,,,,,,,,,,
90766,Kulturhof zum GÌ_ldenen KrÌ¦nbacken Museen,www.kroenbacken.de,Gallery,http://www.galerie-waidspeicher.de/ausstellungen/aktuell/,Unknown,,Rolf Lindner,,,,,,,,,,,,,,,,,,,,,,,,
31419,Galerie Krobath,www.krobathwimmer.at,Other,,,website not available,,,,,,,,,,,,,,,,,,,,,,,,,
47882,Kr Martindale,www.krmartindale.com,Gallery,,,no artist page,,,,,,,,,,,,,,,,,,,,,,,,,
